Date : 2023-11-09 18:57:51
Directory : /Users/benthewill/Projects/textplays/textplay-01-pt
Total : 48 files,  16290 codes, 364 comments, 376 blanks, all 17030 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          3 |     13,186 |          0 |          2 |     13,188 |
| TypeScript JSX     |         29 |      2,480 |        325 |        261 |      3,066 |
| TypeScript         |          8 |        475 |         36 |         97 |        608 |
| CSS                |          1 |        102 |          0 |          8 |        110 |
| JSON with Comments |          2 |         34 |          2 |          1 |         37 |
| JavaScript         |          2 |          8 |          1 |          3 |         12 |
| Markdown           |          1 |          3 |          0 |          4 |          7 |
| XML                |          2 |          2 |          0 |          0 |          2 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                  | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                     |         48 |     16,290 |        364 |        376 |     17,030 |
| . (Files)                                                                                             |          1 |          3 |          0 |          4 |          7 |
| sprint-001                                                                                            |         47 |     16,287 |        364 |        372 |     17,023 |
| sprint-001 (Files)                                                                                    |          8 |     13,305 |          4 |          7 |     13,316 |
| sprint-001/public                                                                                     |          2 |          2 |          0 |          0 |          2 |
| sprint-001/src                                                                                        |         37 |      2,980 |        360 |        365 |      3,705 |
| sprint-001/src (Files)                                                                                |          1 |         34 |         25 |         12 |         71 |
| sprint-001/src/app                                                                                    |          9 |        312 |         71 |         43 |        426 |
| sprint-001/src/app (Files)                                                                            |          3 |        171 |          2 |         20 |        193 |
| sprint-001/src/app/auth                                                                               |          2 |         32 |          0 |          2 |         34 |
| sprint-001/src/app/auth/login                                                                         |          1 |         16 |          0 |          1 |         17 |
| sprint-001/src/app/auth/signup                                                                        |          1 |         16 |          0 |          1 |         17 |
| sprint-001/src/app/graph                                                                              |          1 |         66 |          0 |         10 |         76 |
| sprint-001/src/app/shots                                                                              |          3 |         43 |         69 |         11 |        123 |
| sprint-001/src/app/shots (Files)                                                                      |          2 |         27 |          0 |          2 |         29 |
| sprint-001/src/app/shots/[id]                                                                         |          1 |         16 |         69 |          9 |         94 |
| sprint-001/src/components                                                                             |         19 |      2,245 |        253 |        219 |      2,717 |
| sprint-001/src/components/flow                                                                        |          2 |         49 |          2 |          6 |         57 |
| sprint-001/src/components/flow (Files)                                                                |          1 |         14 |          2 |          3 |         19 |
| sprint-001/src/components/flow/nodes                                                                  |          1 |         35 |          0 |          3 |         38 |
| sprint-001/src/components/shot                                                                        |          6 |      1,459 |        249 |        117 |      1,825 |
| sprint-001/src/components/ui                                                                          |          8 |        498 |          0 |         76 |        574 |
| sprint-001/src/components/user                                                                        |          3 |        239 |          2 |         20 |        261 |
| sprint-001/src/lib                                                                                    |          4 |        287 |          7 |         70 |        364 |
| sprint-001/src/lib (Files)                                                                            |          1 |          5 |          0 |          2 |          7 |
| sprint-001/src/lib/db                                                                                 |          2 |        209 |          7 |         57 |        273 |
| sprint-001/src/lib/validations                                                                        |          1 |         73 |          0 |         11 |         84 |
| sprint-001/src/state                                                                                  |          2 |         77 |          3 |         14 |         94 |
| sprint-001/src/state (Files)                                                                          |          1 |         43 |          1 |          8 |         52 |
| sprint-001/src/state/utils                                                                            |          1 |         34 |          2 |          6 |         42 |
| sprint-001/src/utils                                                                                  |          2 |         25 |          1 |          7 |         33 |
+-------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                              | language           | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| /Users/benthewill/Projects/textplays/textplay-01-pt/README.md                                         | Markdown           |          3 |          0 |          4 |          7 |
| /Users/benthewill/Projects/textplays/textplay-01-pt/sprint-001/.eslintrc.json                         | JSON with Comments |          9 |          0 |          0 |          9 |
| /Users/benthewill/Projects/textplays/textplay-01-pt/sprint-001/components.json                        | JSON               |         16 |          0 |          0 |         16 |
| /Users/benthewill/Projects/textplays/textplay-01-pt/sprint-001/next.config.js                         | JavaScript         |          2 |          1 |          2 |          5 |
| /Users/benthewill/Projects/textplays/textplay-01-pt/sprint-001/package-lock.json                      | JSON               |     13,110 |          0 |          1 |     13,111 |
| /Users/benthewill/Projects/textplays/textplay-01-pt/sprint-001/package.json                           | JSON               |         60 |          0 |          1 |         61 |
| /Users/benthewill/Projects/textplays/textplay-01-pt/sprint-001/postcss.config.js                      | JavaScript         |          6 |          0 |          1 |          7 |
| /Users/benthewill/Projects/textplays/textplay-01-pt/sprint-001/public/next.svg                        | XML                |          1 |          0 |          0 |          1 |
| /Users/benthewill/Projects/textplays/textplay-01-pt/sprint-001/public/vercel.svg                      | XML                |          1 |          0 |          0 |          1 |
| /Users/benthewill/Projects/textplays/textplay-01-pt/sprint-001/src/app/auth/login/page.tsx            | TypeScript JSX     |         16 |          0 |          1 |         17 |
| /Users/benthewill/Projects/textplays/textplay-01-pt/sprint-001/src/app/auth/signup/page.tsx           | TypeScript JSX     |         16 |          0 |          1 |         17 |
| /Users/benthewill/Projects/textplays/textplay-01-pt/sprint-001/src/app/globals.css                    | CSS                |        102 |          0 |          8 |        110 |
| /Users/benthewill/Projects/textplays/textplay-01-pt/sprint-001/src/app/graph/page.tsx                 | TypeScript JSX     |         66 |          0 |         10 |         76 |
| /Users/benthewill/Projects/textplays/textplay-01-pt/sprint-001/src/app/layout.tsx                     | TypeScript JSX     |         28 |          2 |          6 |         36 |
| /Users/benthewill/Projects/textplays/textplay-01-pt/sprint-001/src/app/page.tsx                       | TypeScript JSX     |         41 |          0 |          6 |         47 |
| /Users/benthewill/Projects/textplays/textplay-01-pt/sprint-001/src/app/shots/[id]/page.tsx            | TypeScript JSX     |         16 |         69 |          9 |         94 |
| /Users/benthewill/Projects/textplays/textplay-01-pt/sprint-001/src/app/shots/layout.tsx               | TypeScript JSX     |          7 |          0 |          0 |          7 |
| /Users/benthewill/Projects/textplays/textplay-01-pt/sprint-001/src/app/shots/page.tsx                 | TypeScript JSX     |         20 |          0 |          2 |         22 |
| /Users/benthewill/Projects/textplays/textplay-01-pt/sprint-001/src/components/flow/FlowProvider.tsx   | TypeScript JSX     |         14 |          2 |          3 |         19 |
| /Users/benthewill/Projects/textplays/textplay-01-pt/sprint-001/src/components/flow/nodes/ShotNode.tsx | TypeScript JSX     |         35 |          0 |          3 |         38 |
| /Users/benthewill/Projects/textplays/textplay-01-pt/sprint-001/src/components/shot/AllShots.tsx       | TypeScript JSX     |         47 |          0 |          6 |         53 |
| /Users/benthewill/Projects/textplays/textplay-01-pt/sprint-001/src/components/shot/InputBuild.tsx     | TypeScript JSX     |        111 |         76 |          6 |        193 |
| /Users/benthewill/Projects/textplays/textplay-01-pt/sprint-001/src/components/shot/ShotInput.tsx      | TypeScript JSX     |        461 |        110 |         23 |        594 |
| /Users/benthewill/Projects/textplays/textplay-01-pt/sprint-001/src/components/shot/ShotSub.tsx        | TypeScript JSX     |        644 |         59 |         62 |        765 |
| /Users/benthewill/Projects/textplays/textplay-01-pt/sprint-001/src/components/shot/ShotSub2.tsx       | TypeScript JSX     |        164 |          3 |         12 |        179 |
| /Users/benthewill/Projects/textplays/textplay-01-pt/sprint-001/src/components/shot/TestReq.tsx        | TypeScript JSX     |         32 |          1 |          8 |         41 |
| /Users/benthewill/Projects/textplays/textplay-01-pt/sprint-001/src/components/ui/button.tsx           | TypeScript JSX     |         52 |          0 |          6 |         58 |
| /Users/benthewill/Projects/textplays/textplay-01-pt/sprint-001/src/components/ui/card.tsx             | TypeScript JSX     |         68 |          0 |          9 |         77 |
| /Users/benthewill/Projects/textplays/textplay-01-pt/sprint-001/src/components/ui/form.tsx             | TypeScript JSX     |        152 |          0 |         25 |        177 |
| /Users/benthewill/Projects/textplays/textplay-01-pt/sprint-001/src/components/ui/input.tsx            | TypeScript JSX     |         21 |          0 |          5 |         26 |
| /Users/benthewill/Projects/textplays/textplay-01-pt/sprint-001/src/components/ui/label.tsx            | TypeScript JSX     |         21 |          0 |          6 |         27 |
| /Users/benthewill/Projects/textplays/textplay-01-pt/sprint-001/src/components/ui/select.tsx           | TypeScript JSX     |        109 |          0 |         12 |        121 |
| /Users/benthewill/Projects/textplays/textplay-01-pt/sprint-001/src/components/ui/separator.tsx        | TypeScript JSX     |         27 |          0 |          5 |         32 |
| /Users/benthewill/Projects/textplays/textplay-01-pt/sprint-001/src/components/ui/tabs.tsx             | TypeScript JSX     |         48 |          0 |          8 |         56 |
| /Users/benthewill/Projects/textplays/textplay-01-pt/sprint-001/src/components/user/CurrentUser.tsx    | TypeScript JSX     |         43 |          0 |          6 |         49 |
| /Users/benthewill/Projects/textplays/textplay-01-pt/sprint-001/src/components/user/LogIn.tsx          | TypeScript JSX     |         93 |          1 |          7 |        101 |
| /Users/benthewill/Projects/textplays/textplay-01-pt/sprint-001/src/components/user/SignUp.tsx         | TypeScript JSX     |        103 |          1 |          7 |        111 |
| /Users/benthewill/Projects/textplays/textplay-01-pt/sprint-001/src/lib/db/pocketbaseinit.ts           | TypeScript         |          6 |          0 |          2 |          8 |
| /Users/benthewill/Projects/textplays/textplay-01-pt/sprint-001/src/lib/db/shots.ts                    | TypeScript         |        203 |          7 |         55 |        265 |
| /Users/benthewill/Projects/textplays/textplay-01-pt/sprint-001/src/lib/utils.ts                       | TypeScript         |          5 |          0 |          2 |          7 |
| /Users/benthewill/Projects/textplays/textplay-01-pt/sprint-001/src/lib/validations/shots.ts           | TypeScript         |         73 |          0 |         11 |         84 |
| /Users/benthewill/Projects/textplays/textplay-01-pt/sprint-001/src/middleware.ts                      | TypeScript         |         34 |         25 |         12 |         71 |
| /Users/benthewill/Projects/textplays/textplay-01-pt/sprint-001/src/state/user.ts                      | TypeScript         |         43 |          1 |          8 |         52 |
| /Users/benthewill/Projects/textplays/textplay-01-pt/sprint-001/src/state/utils/server-cookie.ts       | TypeScript         |         34 |          2 |          6 |         42 |
| /Users/benthewill/Projects/textplays/textplay-01-pt/sprint-001/src/utils/queryProvider.tsx            | TypeScript JSX     |         15 |          0 |          5 |         20 |
| /Users/benthewill/Projects/textplays/textplay-01-pt/sprint-001/src/utils/uiProvider.tsx               | TypeScript JSX     |         10 |          1 |          2 |         13 |
| /Users/benthewill/Projects/textplays/textplay-01-pt/sprint-001/tailwind.config.ts                     | TypeScript         |         77 |          1 |          1 |         79 |
| /Users/benthewill/Projects/textplays/textplay-01-pt/sprint-001/tsconfig.json                          | JSON with Comments |         25 |          2 |          1 |         28 |
| Total                                                                                                 |                    |     16,290 |        364 |        376 |     17,030 |
+-------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
